iter	Passed	Remaining
0	15	7843
1	28	7074
2	40	6792
3	53	6621
4	66	6561
5	78	6478
6	91	6444
7	104	6423
8	117	6391
9	129	6353
10	142	6321
11	154	6290
12	167	6286
13	181	6293
14	195	6330
15	211	6386
16	225	6394
17	230	6165
18	243	6155
19	255	6131
20	268	6127
21	282	6137
22	295	6128
23	316	6283
24	337	6404
25	350	6380
26	365	6396
27	380	6409
28	395	6424
29	410	6436
30	424	6417
31	439	6421
32	455	6450
33	471	6456
34	486	6457
35	500	6445
36	515	6444
37	528	6424
38	542	6409
39	556	6405
40	572	6411
41	587	6409
42	602	6401
43	615	6382
44	629	6362
45	643	6348
46	656	6329
47	671	6320
48	684	6303
49	697	6280
50	711	6262
51	725	6249
52	738	6227
53	751	6210
54	765	6194
55	780	6189
56	794	6172
57	809	6165
58	826	6174
59	840	6163
60	856	6161
61	870	6152
62	885	6144
63	900	6133
64	915	6123
65	929	6112
66	944	6103
67	958	6090
68	973	6082
69	991	6093
70	1009	6098
71	1023	6085
72	1039	6078
73	1054	6071
74	1068	6055
75	1083	6043
76	1096	6021
77	1109	6002
78	1122	5980
79	1136	5964
80	1149	5946
81	1163	5929
82	1176	5908
83	1189	5892
84	1203	5877
85	1217	5860
86	1230	5843
87	1247	5840
88	1262	5829
89	1276	5812
90	1289	5797
91	1303	5779
92	1316	5762
93	1330	5747
94	1344	5732
95	1357	5713
96	1371	5697
97	1384	5679
98	1399	5666
99	1412	5650
100	1425	5630
101	1438	5613
102	1450	5591
103	1463	5573
104	1476	5554
105	1490	5539
106	1503	5523
107	1516	5505
108	1530	5488
109	1544	5474
110	1557	5458
111	1571	5443
112	1585	5430
113	1599	5415
114	1613	5400
115	1626	5383
116	1639	5366
117	1651	5347
118	1664	5327
119	1676	5309
120	1690	5293
121	1703	5276
122	1716	5259
123	1728	5242
124	1742	5226
125	1754	5209
126	1768	5193
127	1781	5176
128	1793	5159
129	1807	5143
130	1819	5125
131	1832	5110
132	1846	5095
133	1860	5081
134	1875	5069
135	1889	5056
136	1901	5038
137	1915	5023
138	1928	5008
139	1941	4992
140	1955	4977
141	1968	4962
142	1981	4948
143	1994	4931
144	2007	4915
145	2020	4899
146	2033	4884
147	2047	4869
148	2061	4855
149	2074	4841
150	2089	4829
151	2102	4813
152	2114	4796
153	2128	4781
154	2141	4765
155	2154	4750
156	2167	4735
157	2180	4719
158	2194	4706
159	2207	4691
160	2221	4677
161	2234	4661
162	2247	4647
163	2261	4633
164	2275	4619
165	2288	4605
166	2302	4591
167	2316	4577
168	2329	4562
169	2342	4547
170	2356	4533
171	2369	4518
172	2382	4502
173	2395	4487
174	2408	4472
175	2421	4458
176	2435	4445
177	2449	4430
178	2462	4416
