iter	RMSE
0	3860.645406
1	3722.987323
2	3593.27343
3	3467.053727
4	3346.223299
5	3229.320493
6	3117.80781
7	3009.659665
8	2905.064573
9	2804.602995
10	2708.021875
11	2618.076681
12	2531.162672
13	2446.769663
14	2363.516474
15	2285.190506
16	2209.538985
17	2139.495741
18	2070.855251
19	2007.447924
20	1943.168891
21	1882.47111
22	1823.00491
23	1767.207749
24	1714.009117
25	1661.896959
26	1612.065467
27	1565.881377
28	1522.91031
29	1478.928025
30	1436.339438
31	1396.127586
32	1358.000351
33	1320.78214
34	1287.38547
35	1253.596164
36	1221.720757
37	1191.023685
38	1163.420541
39	1135.164999
40	1109.043713
41	1083.663209
42	1058.990476
43	1035.417
44	1013.546442
45	992.4291523
46	972.477765
47	954.0030571
48	935.6537425
49	917.8436182
50	900.9509695
51	884.8344425
52	869.5433648
53	855.8956388
54	842.1309677
55	829.3835273
56	817.1731444
57	804.8480905
58	793.3917374
59	781.9890981
60	771.9764928
61	762.0631064
62	752.7108732
63	743.9341066
64	735.2781324
65	726.6506424
66	718.7552627
67	711.9808924
68	704.981284
69	698.3938934
70	691.8962021
71	685.6116395
72	679.3906759
73	673.7307728
74	668.4578865
75	663.5979354
76	658.9868014
77	654.3162011
78	649.929305
79	645.8451596
80	641.8749091
81	637.8897223
82	633.6899093
83	630.1957047
84	626.9734358
85	623.5781136
86	620.3854826
87	617.5651242
88	614.7669968
89	611.6721017
90	609.1627669
91	606.5886986
92	603.9228062
93	601.6096433
94	598.9917868
95	596.7663677
96	594.6821752
97	593.0014396
98	590.9825764
99	589.049495
100	587.1332496
101	585.2558268
102	583.5866417
103	581.9460518
104	580.4117013
105	578.7990482
106	577.4655507
107	575.9943084
108	574.511524
109	573.3653484
110	571.8944407
111	570.7217134
112	569.4291412
113	568.3196721
114	567.0281713
115	565.9335053
116	564.9542912
117	563.7066751
118	562.5950137
119	561.5521074
120	560.7050583
121	559.8147605
122	558.8690437
123	558.011824
124	557.1129922
125	556.2235171
126	555.4111033
127	554.6251076
128	553.7688599
129	552.8858057
130	552.1335445
131	551.4880586
132	550.8938417
133	549.9717121
134	549.1631805
135	548.3165207
136	547.759957
137	546.9431839
138	546.2225551
139	545.5945893
140	545.0687536
141	544.2411538
142	543.7521625
143	543.4030764
144	542.8922412
145	542.3654766
146	541.876712
147	541.4056415
148	540.9415379
149	540.4237601
150	539.902352
151	539.5244806
152	538.7947317
153	538.4669158
154	538.1458406
155	537.7653072
156	537.2636989
157	536.8259325
158	536.3117398
159	535.6829783
160	535.2196114
161	534.7135928
162	534.2329359
163	533.8366474
164	533.4116733
165	533.0997884
166	532.837826
167	532.3576168
168	531.8436972
169	531.5845834
170	531.2125865
171	530.7846937
172	530.4243769
173	529.9887974
174	529.5914065
175	529.120057
176	528.8164056
177	528.3595685
178	528.0270718
179	527.5626776
180	527.2937481
181	527.0728032
182	526.5947325
183	526.3580406
184	526.1289305
185	525.6364915
186	525.1905611
187	524.6413791
188	523.92611
189	523.6019945
190	523.3539999
191	523.0800673
192	522.7918582
193	522.2197654
194	521.7522226
195	521.533884
196	521.342442
197	521.0147519
198	520.8708809
199	520.4135808
200	520.0274359
201	519.5351969
202	519.317204
203	518.8904881
204	518.5679559
205	518.1488715
206	518.005216
207	517.7487605
208	517.5388109
209	517.1340196
210	516.9878281
211	516.7154424
212	516.5536221
213	516.3271256
214	516.1988749
215	515.8217648
216	515.3515735
217	515.2945438
218	515.1641357
219	514.956026
220	514.479362
221	514.3113996
222	513.9820469
223	513.7904032
224	513.2108168
225	512.7827792
226	512.4374636
227	512.4319682
228	512.0199815
229	511.7676311
230	511.5332386
231	511.1628455
232	510.866381
233	510.5119199
234	510.2558562
235	509.9309093
236	509.5053712
237	509.2352076
238	509.051183
239	509.0075468
240	508.5916493
241	508.2198879
242	507.8002158
243	507.7380143
244	507.3589046
245	507.133772
246	506.7280915
247	506.3702179
248	506.2476953
249	505.9956751
250	505.7760741
251	505.4375102
252	505.2394239
253	505.2157796
254	504.9902409
255	504.9124474
256	504.7742768
257	504.6095612
258	504.3815637
259	504.2487808
260	503.8838942
261	503.6254699
262	503.607317
263	503.5506832
264	503.4208892
265	503.1362662
266	502.9104486
267	502.6617376
268	502.5809632
269	502.3105013
270	502.1822907
271	502.154553
272	501.8836501
273	501.8561021
274	501.8413745
275	501.7894713
276	501.5237493
277	501.5042775
278	501.2870539
279	500.9657064
280	500.7245697
281	500.4579133
282	500.3485626
283	500.3349606
284	499.9383911
285	499.58497
286	499.3221133
287	499.0424654
288	498.8536857
289	498.6139874
290	498.2777252
291	498.044905
292	497.8657244
293	497.6708582
294	497.6507081
295	497.4928268
296	497.2543666
297	497.233131
298	496.8962759
299	496.8339381
300	496.729876
301	496.5652222
302	496.3773553
303	496.3310353
304	496.3200947
305	496.2454834
306	496.0722596
307	495.7444213
308	495.6531541
309	495.4727786
310	495.2017241
311	494.9325479
312	494.7792863
313	494.7602841
314	494.3136478
315	494.0258956
316	493.7104663
317	493.5533664
318	493.3807572
319	493.1708723
320	492.9800363
321	492.8394029
322	492.6892633
323	492.413657
324	492.1457832
325	492.0270917
326	491.8211296
327	491.6713597
328	491.5642905
329	491.3544067
330	491.2382601
331	491.1909605
332	491.0241025
333	490.765554
334	490.601565
335	490.2515762
336	490.0763328
337	489.854494
338	489.6998147
339	489.4012452
340	489.2242667
341	489.1200808
342	488.9140791
343	488.7935015
344	488.5724484
345	488.3913516
346	488.2686936
347	488.1049958
348	487.8634872
349	487.5859773
350	487.3641457
351	487.2526135
352	486.9711852
353	486.770725
354	486.5847264
355	486.5779245
356	486.3640758
357	486.1373432
358	485.9142201
359	485.5052877
360	485.4470213
361	485.1864253
362	484.8958946
363	484.6359799
364	484.4895615
365	484.2458423
366	483.9852723
367	483.7047632
368	483.5778994
