iter	Passed	Remaining
0	13	8121
1	24	7303
2	34	6895
3	45	6706
4	55	6572
5	65	6440
6	75	6385
7	85	6317
8	94	6222
9	105	6210
10	114	6153
11	125	6131
12	134	6095
13	143	5986
14	151	5901
15	160	5847
16	168	5767
17	176	5692
18	185	5680
19	194	5642
20	203	5611
21	213	5611
22	223	5594
23	231	5556
24	239	5512
25	247	5472
26	256	5435
27	263	5388
28	272	5357
29	280	5330
30	288	5296
31	297	5286
32	307	5279
33	315	5249
34	323	5215
35	331	5197
36	339	5170
37	348	5148
38	356	5125
39	364	5106
40	372	5076
41	381	5062
42	389	5041
43	397	5021
44	405	5002
45	413	4983
46	422	4966
47	431	4965
48	439	4946
49	448	4935
50	456	4913
51	464	4898
52	472	4874
53	480	4858
54	488	4841
55	497	4828
56	507	4833
57	516	4829
58	525	4817
59	533	4800
60	541	4784
61	549	4765
62	558	4756
63	566	4741
64	576	4743
65	584	4728
66	592	4716
67	601	4702
68	610	4696
69	618	4684
70	627	4678
71	636	4669
72	645	4661
73	654	4648
74	662	4638
75	671	4627
76	679	4617
77	688	4604
78	696	4591
79	705	4583
80	713	4571
81	722	4565
82	731	4556
83	740	4549
84	749	4540
85	758	4532
86	767	4523
87	775	4511
88	784	4505
89	793	4493
90	802	4487
91	811	4478
92	820	4470
93	829	4463
94	838	4457
95	847	4447
96	856	4440
97	864	4430
98	872	4416
99	880	4403
100	888	4390
101	896	4378
102	905	4370
103	914	4359
104	922	4349
105	930	4337
106	940	4333
107	948	4322
108	956	4308
109	965	4299
110	973	4287
111	983	4284
112	993	4280
113	1002	4274
114	1010	4261
115	1019	4253
116	1027	4243
117	1037	4236
118	1044	4223
119	1052	4211
120	1061	4202
121	1069	4189
122	1077	4178
123	1085	4166
124	1093	4156
125	1101	4144
126	1110	4134
127	1118	4125
128	1126	4114
129	1135	4103
130	1144	4096
131	1153	4091
132	1162	4081
133	1172	4077
134	1181	4069
135	1191	4066
136	1201	4059
137	1211	4055
138	1221	4050
139	1230	4041
140	1239	4036
141	1249	4029
142	1258	4022
143	1268	4015
144	1276	4004
145	1285	3996
146	1294	3989
147	1303	3981
148	1312	3973
149	1322	3966
150	1331	3959
151	1340	3952
152	1350	3946
153	1359	3937
154	1368	3929
155	1377	3919
156	1386	3913
157	1395	3903
158	1404	3894
159	1412	3885
160	1421	3877
161	1430	3868
162	1439	3858
163	1447	3848
164	1455	3837
165	1464	3828
166	1471	3816
167	1480	3806
168	1488	3795
169	1496	3785
170	1504	3773
171	1512	3763
172	1519	3751
173	1528	3741
174	1535	3729
175	1543	3719
176	1552	3711
177	1561	3701
178	1568	3690
179	1577	3681
180	1585	3670
181	1595	3663
182	1604	3655
183	1612	3644
184	1620	3634
185	1628	3625
186	1637	3615
187	1645	3606
188	1653	3596
189	1662	3586
190	1669	3575
191	1679	3568
192	1687	3558
193	1695	3547
194	1703	3537
195	1711	3528
196	1719	3518
197	1728	3508
198	1736	3498
199	1745	3490
200	1753	3480
201	1761	3469
202	1769	3459
203	1777	3450
204	1785	3440
205	1793	3430
206	1801	3420
207	1809	3409
208	1816	3398
209	1825	3389
210	1833	3379
211	1841	3370
212	1849	3359
213	1857	3350
214	1865	3339
215	1873	3330
216	1880	3319
217	1888	3309
218	1896	3299
219	1904	3289
220	1912	3279
221	1920	3270
222	1929	3261
223	1937	3252
224	1945	3242
225	1954	3234
226	1962	3224
227	1965	3206
228	1973	3198
229	1981	3188
230	1989	3178
231	1998	3170
232	2006	3160
233	2014	3151
234	2022	3140
235	2029	3130
236	2037	3120
237	2045	3111
238	2054	3103
239	2057	3086
240	2066	3077
241	2073	3067
242	2082	3059
243	2089	3048
244	2098	3040
245	2105	3030
246	2114	3021
247	2122	3012
248	2146	3026
249	2167	3035
250	2191	3046
251	2214	3057
252	2230	3059
253	2242	3054
254	2251	3046
255	2260	3037
256	2269	3028
257	2278	3020
258	2285	3008
259	2293	2999
260	2301	2988
261	2309	2979
262	2313	2964
263	2321	2954
264	2328	2943
265	2336	2933
266	2344	2923
267	2351	2913
268	2360	2904
269	2368	2894
270	2376	2885
271	2384	2875
272	2392	2866
273	2397	2852
274	2401	2838
275	2409	2828
276	2417	2818
277	2425	2808
278	2433	2799
279	2457	2808
280	2482	2818
281	2506	2825
282	2522	2825
283	2528	2813
284	2538	2805
285	2547	2797
286	2556	2787
287	2565	2779
288	2574	2770
289	2582	2761
290	2591	2751
291	2600	2743
292	2609	2734
293	2620	2727
294	2629	2718
295	2638	2709
296	2648	2702
297	2657	2693
298	2666	2684
299	2671	2671
300	2680	2662
301	2688	2652
302	2697	2643
303	2704	2633
304	2708	2619
305	2716	2609
306	2723	2599
307	2731	2589
308	2739	2580
309	2748	2570
310	2756	2561
311	2764	2551
312	2772	2542
313	2777	2530
314	2786	2520
315	2794	2511
316	2802	2501
317	2810	2492
318	2818	2482
319	2825	2472
320	2834	2463
321	2842	2453
322	2850	2444
323	2858	2434
324	2866	2425
325	2874	2416
326	2883	2407
327	2892	2398
328	2900	2389
329	2909	2380
330	2918	2371
331	2926	2362
332	2934	2352
333	2942	2343
334	2951	2334
335	2959	2325
336	2967	2315
337	2975	2306
338	2983	2296
339	2991	2287
340	2999	2278
341	3007	2268
342	3015	2259
343	3023	2250
344	3031	2240
345	3040	2231
346	3048	2222
347	3056	2213
348	3064	2203
349	3072	2194
350	3081	2185
351	3090	2177
352	3099	2168
353	3107	2159
354	3115	2150
355	3123	2140
356	3132	2131
357	3140	2123
358	3148	2113
359	3158	2105
360	3165	2095
361	3174	2087
362	3183	2078
363	3192	2069
364	3200	2060
